episode,episode_reward,game_score,max_tile,episode_length,epsilon,loss
492,1626.8,1388,128,171,0.670666,10.146942
493,596.2,560,64,102,0.670171,12.83521
494,230.2,180,16,49,0.669933,11.742411
495,1454.6,1280,128,156,0.669177,9.527972
496,1755.32,1440,128,176,0.668323,8.977845
497,625.48,624,64,120,0.667741,8.084472
498,1113.96,964,64,133,0.667096,12.012976
499,613.24,572,64,101,0.666606,9.253069
500,706.36,608,64,99,0.666126,10.098622
501,801.36,716,64,115,0.665568,12.203457
502,1354.2,1148,128,138,0.664899,13.366856
503,1036.0,932,64,130,0.664268,9.13039
504,867.24,716,64,103,0.663769,15.540266
505,1002.64,868,64,118,0.663197,7.552748
506,1267.88,1172,128,158,0.66243,11.126876
507,827.76,684,64,95,0.66197,12.609114
508,752.6,632,64,104,0.661465,10.828527
509,924.52,768,64,100,0.66098,13.847034
510,1587.72,1412,128,185,0.660083,10.80718
511,968.8,872,64,137,0.659418,13.941607
512,1355.92,1132,128,131,0.658783,12.932798
513,437.04,388,32,78,0.658405,15.735492
514,1593.96,1420,128,176,0.657551,13.274242
515,1978.52,1776,128,230,0.656436,12.901989
516,2687.24,2256,256,220,0.655369,13.356088
517,702.12,536,64,76,0.655,10.417593
518,949.2,804,64,120,0.654418,12.86661
519,864.16,776,64,117,0.653851,11.609806
520,1228.4,1076,128,139,0.653177,13.307542
521,1854.32,1568,128,178,0.652313,14.712445
522,581.8,504,32,89,0.651882,9.747344
523,1210.52,1032,128,129,0.651256,10.337719
524,1073.84,976,64,142,0.650567,14.884542
525,1860.52,1620,128,204,0.649578,14.833074
526,2717.8,2276,256,219,0.648516,12.314344
527,1274.6,1140,128,151,0.647783,12.7423
528,731.04,612,64,94,0.647327,12.739559
529,929.52,796,64,111,0.646789,16.045694
530,1250.84,1084,128,130,0.646159,14.850281
531,718.4,676,64,118,0.645586,12.687582
532,2493.72,2040,256,196,0.644636,14.711296
533,1332.2,1056,128,120,0.644054,12.521545
534,1798.56,1536,128,193,0.643118,11.55112
535,1410.84,1180,128,134,0.642468,9.861335
536,2047.6,1804,128,221,0.641396,11.25794
537,594.28,476,64,67,0.641071,10.935163
538,2813.64,2340,256,235,0.639931,14.144917
539,634.72,576,64,103,0.639432,10.169728
540,1250.36,1032,128,120,0.63885,11.61158
541,605.08,524,64,82,0.638452,9.187642
542,1563.64,1332,128,163,0.637661,13.949213
543,1532.68,1308,128,157,0.6369,15.306479
544,494.8,432,32,79,0.636517,9.573872
545,1427.12,1184,128,151,0.635784,12.915164
546,1319.36,1164,128,143,0.635091,11.163743
547,1504.56,1308,128,164,0.634295,8.837778
548,1081.72,928,128,109,0.633767,11.216464
549,1487.88,1316,128,166,0.632962,10.961248
550,1599.28,1372,128,165,0.632161,14.421614
551,1786.92,1520,128,178,0.631298,12.500394
552,1486.8,1292,128,159,0.630527,9.040671
553,1839.0,1588,128,199,0.629562,11.202494
554,1095.08,920,64,133,0.628917,12.390553
555,2056.84,1760,128,186,0.628015,11.61084
556,1372.92,1144,128,145,0.627311,10.348805
557,928.84,812,64,115,0.626754,12.052726
558,2887.88,2520,256,305,0.625274,11.984092
559,1244.16,1100,128,132,0.624634,11.575636
560,1397.8,1172,128,145,0.623931,11.08128
561,1588.0,1448,128,192,0.623,10.327036
562,976.2,836,64,116,0.622437,10.47654
563,1924.04,1680,128,223,0.621356,14.317017
564,937.24,792,64,117,0.620788,12.994465
565,1648.4,1444,128,188,0.619876,12.552768
566,352.72,292,32,66,0.619556,16.104269
567,1379.8,1284,128,186,0.618654,11.390831
568,749.44,664,64,112,0.618111,15.226306
569,1122.2,1004,128,128,0.61749,9.263454
570,1731.88,1472,128,192,0.616559,14.068106
